level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,page
5,1,3,3,15,7,683,1398,134,42,95.076988,jettisoned,1
5,1,3,3,15,8,834,1408,24,16,96.304848,as,1
5,1,3,3,15,9,876,1395,136,30,95.918785,irrelevant.,1
5,1,3,3,16,1,210,1432,70,33,96.790184,They,1
5,1,3,3,16,2,296,1441,39,16,96.909409,are,1
5,1,3,3,16,3,350,1442,58,24,96.830933,very,1
5,1,3,3,16,4,424,1433,131,34,96.206505,important,1
5,1,3,3,16,5,571,1434,39,25,96.931122,for,1
5,1,3,3,16,6,625,1443,46,16,96.377228,our,1
5,1,3,3,16,7,687,1435,109,33,19.300556,inquiry;,1
5,1,3,3,16,8,814,1435,79,33,96.907158,partly,1
5,1,3,3,16,9,909,1436,105,25,96.670845,because,1
5,1,3,3,17,1,210,1468,58,25,96.962517,false,1
5,1,3,3,17,2,280,1469,102,25,96.989342,theories,1
5,1,3,3,17,3,396,1478,39,16,87.140999,are,1
5,1,3,3,17,4,448,1470,130,32,87.140999,generated,1
5,1,3,3,17,5,591,1470,33,33,96.875702,by,1
5,1,3,3,17,6,636,1470,85,25,96.449425,failure,1
5,1,3,3,17,7,734,1476,25,19,96.449425,to,1
5,1,3,3,17,8,773,1471,149,40,96.715569,distinguish,1
5,1,3,3,17,9,935,1472,77,30,96.957016,"them,",1
5,1,3,3,18,1,207,1504,117,25,0.0,80''that,1
5,1,3,3,18,2,320,1513,23,16,96.743523,in,1
5,1,3,3,18,3,359,1505,157,33,96.603271,expounding,1
5,1,3,3,18,4,531,1514,47,17,95.947487,one,1
5,1,3,3,18,5,594,1514,75,25,96.332153,usage,1
5,1,3,3,18,6,684,1515,37,16,96.865295,we,1
5,1,3,3,18,7,737,1512,68,20,96.530815,must,1
5,1,3,3,18,8,820,1506,56,34,96.894402,give,1
5,1,3,3,18,9,891,1516,15,16,96.695641,a,1
5,1,3,3,18,10,922,1508,91,24,96.695641,certain,1
5,1,3,3,19,1,209,1540,115,36,96.816826,attention,1
5,1,3,3,19,2,340,1546,30,31,96.780289,to,1
5,1,3,3,19,3,380,1542,92,29,96.835495,others;,1
5,1,3,3,19,4,489,1542,77,33,93.487007,partly,1
5,1,3,3,19,5,581,1542,102,25,96.705101,because,1
5,1,3,3,19,6,700,1542,128,26,96.638306,confusion,1
5,1,3,3,19,7,846,1544,108,24,96.949081,between,1
5,1,3,3,19,8,972,1544,42,24,96.718246,the,1
5,1,1,1,1,1,320,218,11,13,96.433754,2,2
5,1,1,1,1,2,602,205,217,22,96.430206,INTRODUCTION,2
5,1,2,1,1,1,319,248,92,25,96.45153,various,2
5,1,2,1,1,2,421,255,79,17,97.014687,senses,2
5,1,2,1,1,3,510,245,28,25,96.870407,of,2
5,1,2,1,1,4,545,245,40,25,96.962593,the,2
5,1,2,1,1,5,594,244,66,25,96.427048,word,2
5,1,2,1,1,6,669,252,55,25,96.815094,may,2
5,1,2,1,1,7,734,243,104,34,96.227829,produce,2
5,1,2,1,1,8,850,243,46,25,96.974503,bad,2
5,1,2,1,1,9,908,244,103,33,96.891861,practice,2
5,1,2,1,1,10,1021,253,24,17,96.936958,as,2
5,1,2,1,1,11,1055,246,52,25,95.586548,well,2
5,1,2,1,2,1,319,294,25,16,96.709984,as,2
5,1,2,1,2,2,362,284,46,25,96.709984,bad,2
5,1,2,1,2,3,426,284,89,32,91.624329,theory.,2
5,1,2,1,2,4,541,282,48,24,96.259033,We,2
5,1,2,1,2,5,607,285,63,20,96.259033,must,2
5,1,2,1,2,6,688,280,117,25,96.743904,therefore,2
5,1,2,1,2,7,824,280,86,24,96.99881,review,2
5,1,2,1,2,8,927,281,41,23,96.74939,the,2
5,1,2,1,2,9,986,281,122,35,96.57766,improper,2
5,1,2,1,3,1,320,329,78,17,96.491119,senses,2
5,1,2,1,3,2,410,319,28,25,96.754059,of,2
5,1,2,1,3,3,447,320,39,24,96.950867,the,2
5,1,2,1,3,4,497,318,66,25,96.830009,word,2
5,1,2,1,3,5,576,317,50,25,95.549377,‘art’,2
5,1,2,1,3,6,638,317,24,24,95.549377,in,2
5,1,2,1,3,7,674,325,14,16,96.77774,a,2
5,1,2,1,3,8,699,316,87,25,96.77774,careful,2
5,1,2,1,3,9,799,317,47,23,96.933617,and,2
5,1,2,1,3,10,859,317,135,32,96.360138,systematic,2
5,1,2,1,3,11,1006,326,63,27,87.281303,way;,2
5,1,2,1,3,12,1081,328,26,16,93.184875,so,2
5,1,2,1,4,1,320,358,50,24,96.767998,that,2
5,1,2,1,4,2,382,362,23,19,96.950836,at,2
5,1,2,1,4,3,416,356,39,25,96.922188,the,2
5,1,2,1,4,4,467,355,46,25,96.816742,end,2
5,1,2,1,4,5,526,354,27,25,96.523598,of,2
5,1,2,1,4,6,562,354,18,24,96.523598,it,2
5,1,2,1,4,7,591,362,34,16,96.7966,we,2
5,1,2,1,4,8,638,362,41,16,96.929276,can,2
5,1,2,1,4,9,693,361,39,25,96.709297,say,2
5,1,2,1,4,10,744,358,42,19,96.852966,not,2
5,1,2,1,4,11,798,352,57,33,96.946259,only,2
5,1,2,1,4,12,868,353,58,24,96.552963,‘that,2
5,1,2,1,4,13,938,353,47,25,96.725685,and,2
5,1,2,1,4,14,998,354,51,24,96.600731,that,2
5,1,2,1,4,15,1061,356,46,24,96.958023,and,2
5,1,2,1,5,1,321,394,50,24,96.9123,that,2
5,1,2,1,5,2,381,401,38,16,96.813721,are,2
5,1,2,1,5,3,430,397,41,20,96.926582,not,2
5,1,2,1,5,4,482,391,50,30,96.605743,"art’,",2
5,1,2,1,5,5,545,391,43,24,96.822006,but,2
5,1,2,1,5,6,599,390,58,24,96.822006,‘that,2
5,1,2,1,5,7,668,389,19,25,96.997681,is,2
5,1,2,1,5,8,698,394,42,20,96.514275,not,2
5,1,2,1,5,9,751,394,35,19,96.940704,art,2
5,1,2,1,5,10,797,389,101,24,96.609406,because,2
5,1,2,1,5,11,910,389,17,24,96.789146,it,2
5,1,2,1,5,12,938,389,20,25,93.302078,is,2
5,1,2,1,5,13,970,390,138,33,92.910614,pseudo-art,2
5,1,2,1,6,1,320,429,28,25,96.926163,of,2
5,1,2,1,6,2,356,429,57,24,96.870636,kind,2
5,1,2,1,6,3,421,429,34,29,96.544579,A;,2
5,1,2,1,6,4,465,428,58,30,96.903015,"that,",2
5,1,2,1,6,5,532,427,99,24,96.957893,because,2
